10915,8773,107,Papua New Guinea,Port Moresby,2021/04/28 18:20:57+00
10730,6267,316,Lesotho,Maseru,2021/04/28 18:20:57+00
10678,8208,144,Congo (Brazzaville),,2021/04/28 18:20:57+00
10553,10312,114,South Sudan,Juba,2021/04/28 18:20:57+00
10220,9326,198,Bahamas,Nassau,2021/04/28 18:20:57+00
10157,9193,201,Suriname,Paramaribo,2021/04/28 18:20:57+00
9947,8281,161,Trinidad and Tobago,Port-of-Spain,2021/04/28 18:20:57+00
7720,7510,97,Benin,Porto-Novo,2021/04/28 18:20:57+00
7559,7097,107,Equatorial Guinea,Malabo,2021/04/28 18:20:57+00
6898,4225,182,Nicaragua,Managua,2021/04/28 18:20:57+00
6456,6244,29,Iceland,Reykjav,2021/04/28 18:20:57+00
6359,5112,87,Central African Republic,Bangui,2021/04/28 18:20:57+00
6220,2674,1207,Yemen,Sanaa,2021/04/28 18:20:57+00
5882,5309,174,Gambia,Banjul,2021/04/28 18:20:57+00
5354,4675,26,Seychelles,Victoria,2021/04/28 18:20:57+00
5220,4843,191,Niger,Niamey,2021/04/28 18:20:57+00
5059,4897,90,San Marino,San Marino,2021/04/28 18:20:57+00
4779,4406,170,Chad,N'Djam,2021/04/28 18:20:57+00
4508,4344,74,Saint Lucia,Castries,2021/04/28 18:20:57+00
4046,3045,79,Sierra Leone,Freetown,2021/04/28 18:20:57+00
3884,773,6,Burundi,Bujumbura,2021/04/28 18:20:57+00
3833,3664,146,Comoros,Moroni,2021/04/28 18:20:57+00
3831,3750,44,Barbados,Bridgetown,2021/04/28 18:20:57+00
3731,3267,67,Guinea-Bissau,Bissau,2021/04/28 18:20:57+00
3659,3492,10,Eritrea,Asmara,2021/04/28 18:20:57+00
2908,2774,57,Liechtenstein,Vaduz,2021/04/28 18:20:57+00
2865,2516,35,Vietnam,Hanoi,2021/04/28 18:20:57+00
2610,2557,26,New Zealand,Wellington,2021/04/28 18:20:57+00
2442,2338,32,Monaco,Monaco-Ville,2021/04/28 18:20:57+00
2301,2239,35,Sao Tome and Principe,S,2021/04/28 18:20:57+00
2124,1020,3,Timor-Leste,,2021/04/28 18:20:57+00
2099,1949,85,Liberia,Monrovia,2021/04/28 18:20:57+00
1850,1711,11,Saint Vincent and the Grenadines,Kingstown,2021/04/28 18:20:57+00
1232,1014,32,Antigua and Barbuda,Saint John's,2021/04/28 18:20:57+00
1207,1068,17,Mauritius,Port-Louis,2021/04/28 18:20:57+00
1116,1050,12,Taiwan*,,2021/04/28 18:20:57+00
1059,961,1,Bhutan,Thimphu,2021/04/28 18:20:57+00
712,699,13,Diamond Princess,,2021/04/28 18:20:57+00
511,49,0,Laos,Vientiane,2021/04/28 18:20:57+00
509,183,21,Tanzania,Dodoma,2021/04/28 18:20:57+00
224,215,3,Brunei,Bandar Seri Begawan,2021/04/28 18:20:57+00
173,171,0,Dominica,Roseau,2021/04/28 18:20:57+00
159,155,1,Grenada,Saint George's,2021/04/28 18:20:57+00
111,65,2,Fiji,Suva,2021/04/28 18:20:57+00
44,44,0,Saint Kitts and Nevis,Basseterre,2021/04/28 18:20:57+00
27,15,0,Holy See,Citt,2021/04/28 18:20:57+00
20,20,0,Solomon Islands,Honiara,2021/04/28 18:20:57+00
9,7,2,MS Zaandam,,2021/04/28 18:20:57+00
4,3,1,Vanuatu,Port-Vila,2021/04/28 18:20:57+00
4,4,0,Marshall Islands,Dalap-Uliga-Darrit,2021/04/28 18:20:57+00
3,2,0,Samoa,Apia,2021/04/28 18:20:57+00
1,1,0,Micronesia,,2021/04/28 18:20:57+00
